BC,s_1,s_2,average,standard deviation
P10_G11,1.0528563020379083,0.9545179433247115,1.0036871226813098,0.04916917935659837
P12_H11,0.9555972876525483,0.9808827787861663,0.9682400332193573,0.012642745566809
P12_A12,0.9803354870152716,0.9793294666796613,0.9798324768474664,0.0005030101678051846
P12_B12,0.9804459526375748,0.9811085146868797,0.9807772336622272,0.00033128102465240783
P12_C12,0.9841972016766429,1.2443279472141189,1.114262574445381,0.13006537276873797
P12_D12,1.3055459564045993,0.9965023634115086,1.151024159908054,0.15452179649654535
P12_F12,0.9991248218200827,0.9953655520927595,0.9972451869564211,0.0018796348636616056
P10_F12,0.9978042099882442,1.012784938026019,1.0052945740071315,0.007490364018887419
P12_G12,1.0169855119597622,0.9756124663385541,0.9962989891491582,0.020686522810604013
P12_H12,0.9778692870109994,0.9761137065617473,0.9769914967863733,0.0008777902246260294
